Testing RandomTest
------------------------------------------------------------------------------------------------------------------------------
|         Tree Type        |    N    |      Insert Only [ms]      |      Access Only [ms]      |      Delete Only [ms]       |
|                          | 100000  | 370024 514443 1365498            |
|                          | 1000000 | 3700464 5145454 13656521         |
| 4: Scheme 2, p = 2^-2    |         |                                  |
|                          | 100     | 311 459 1174                     |
|                          | 10000   | 35086 49905 130602               |
|                          | 100000  | 351052 499130 1306549            |
|                          | 1000000 | 3510489 4990995 13065119         |
| 5: EvenScheme            |         |                                  |
|                          | 100     | 360 502 1330                     |
|                          | 10000   | 39622 53491 144621               |
|                          | 100000  | 397146 535775 1449210            |
|                          | 1000000 | 3972330 5358503 14494862         |
| 5a: OneRot               |         |                                  |
|                          | 100     | 5049 5149 16761                  |
|                          | 10000   | 50004999 50014999 165026496      |
|                          | 100000  | 705082703 705182703 -2147483648  |
|                          | 1000000 | 0                                |
| 5b: Vanilla/TwoRot       |         |                                  |
|                          | 100     | 416 516 1472                     |
|                          | 10000   | 44112 54112 155569               |
|                          | 100000  | 441426 541426 1556705            |
|                          | 1000000 | 4414570 5414570 15568081         |
| 5c: ThreeRot             |         |                                  |
|                          | 100     | 348 448 1248                     |
|                          | 10000   | 36498 46498 130443               |
|                          | 100000  | 365412 465412 1305859            |
|                          | 1000000 | 3654384 4654384 13059467         |
| 5d: FourRot              |         |                                  |
|                          | 100     | 318 418 1149                     |
|                          | 10000   | 33638 43638 121005               |
|                          | 100000  | 336802 436802 1211446            |
|                          | 1000000 | 3368546 4368546 12116201         |
-------------------------------------------------------------------------
